x_acc,y_acc,z_acc
0.102,-0.688,0.699
0.098,-0.691,0.699
0.094,-0.688,0.695
0.094,-0.691,0.684
0.094,-0.691,0.68
0.094,-0.684,0.68
0.086,-0.691,0.688
0.09,-0.695,0.691
0.094,-0.711,0.691
0.098,-0.723,0.695
0.098,-0.719,0.703
0.094,-0.707,0.727
0.098,-0.711,0.77
0.109,-0.734,0.82
0.145,-0.773,0.855
0.191,-0.824,0.859
0.23,-0.848,0.844
0.258,-0.828,0.844
0.262,-0.777,0.863
0.254,-0.738,0.875
0.227,-0.711,0.875
0.211,-0.691,0.871
0.184,-0.676,0.859
0.16,-0.668,0.848
0.148,-0.676,0.828
0.148,-0.688,0.797
0.148,-0.695,0.762
0.152,-0.684,0.719
0.156,-0.664,0.68
0.168,-0.633,0.645
0.176,-0.598,0.617
0.191,-0.555,0.598
0.211,-0.52,0.598
0.242,-0.496,0.621
0.285,-0.496,0.664
0.344,-0.523,0.703
0.398,-0.566,0.738
0.445,-0.605,0.766
0.465,-0.637,0.781
0.445,-0.648,0.789
0.418,-0.637,0.797
0.391,-0.613,0.801
0.375,-0.605,0.793
0.367,-0.602,0.777
0.367,-0.609,0.766
0.367,-0.613,0.738
0.367,-0.605,0.719
0.371,-0.598,0.707
0.371,-0.586,0.691
0.371,-0.578,0.68
0.367,-0.57,0.676
0.367,-0.566,0.676
0.363,-0.563,0.672
0.359,-0.547,0.668
0.355,-0.527,0.668
0.355,-0.516,0.668
0.359,-0.496,0.668
0.363,-0.488,0.672
0.375,-0.484,0.688
0.395,-0.492,0.695
0.41,-0.504,0.703
0.426,-0.52,0.707
0.43,-0.527,0.703
0.43,-0.531,0.703
0.43,-0.535,0.703
0.414,-0.535,0.703
0.402,-0.539,0.699
0.395,-0.543,0.703
0.387,-0.547,0.707
0.391,-0.555,0.707
0.387,-0.559,0.711
0.395,-0.563,0.719
0.391,-0.559,0.723
0.383,-0.555,0.727
0.375,-0.547,0.746
0.371,-0.539,0.754
0.363,-0.527,0.758
0.352,-0.52,0.773
0.34,-0.52,0.781
0.328,-0.527,0.789
0.336,-0.527,0.793
0.336,-0.523,0.801
0.34,-0.523,0.813
0.348,-0.531,0.824
0.355,-0.559,0.855
0.367,-0.59,0.902
0.379,-0.66,0.961
0.375,-0.773,0.992
0.34,-0.887,0.988
0.273,-0.934,0.977
0.215,-0.914,0.969
0.18,-0.852,0.957
0.18,-0.789,0.941
0.191,-0.742,0.91
0.211,-0.707,0.879
0.219,-0.672,0.832
0.207,-0.633,0.777
0.191,-0.594,0.723
0.176,-0.563,0.691
0.152,-0.551,0.68
0.133,-0.555,0.684
0.117,-0.586,0.691
0.117,-0.621,0.707
0.121,-0.652,0.734
0.121,-0.672,0.754
0.129,-0.672,0.777
0.145,-0.668,0.793
0.152,-0.66,0.805
0.152,-0.656,0.82
0.148,-0.648,0.828
0.137,-0.641,0.828
0.133,-0.637,0.82
0.125,-0.633,0.801
0.121,-0.637,0.781
0.117,-0.637,0.758
0.109,-0.633,0.727
0.105,-0.633,0.703
0.105,-0.617,0.68
0.109,-0.609,0.656
0.113,-0.602,0.641
0.117,-0.594,0.625
0.125,-0.59,0.613
0.129,-0.578,0.602
