x_acc,y_acc,z_acc
-0.004,-0.703,0.793
-0.012,-0.703,0.793
-0.016,-0.695,0.781
-0.016,-0.684,0.773
-0.012,-0.676,0.77
-0.004,-0.68,0.77
-0.008,-0.676,0.762
-0.008,-0.684,0.754
-0.012,-0.684,0.746
-0.016,-0.688,0.738
-0.02,-0.691,0.738
-0.02,-0.691,0.738
-0.016,-0.691,0.738
-0.027,-0.688,0.742
-0.027,-0.684,0.746
-0.027,-0.68,0.738
-0.016,-0.684,0.754
-0.004,-0.688,0.746
0.004,-0.688,0.746
0.012,-0.691,0.742
0.02,-0.699,0.734
0.023,-0.699,0.727
0.02,-0.699,0.727
0.023,-0.695,0.73
0.02,-0.688,0.73
0.016,-0.688,0.73
0.023,-0.691,0.73
0.031,-0.703,0.73
0.039,-0.719,0.73
0.051,-0.715,0.723
0.043,-0.715,0.711
0.031,-0.711,0.699
0.031,-0.711,0.691
0.039,-0.727,0.695
0.051,-0.754,0.707
0.066,-0.805,0.727
0.063,-0.859,0.742
0.043,-0.895,0.742
0.008,-0.91,0.738
-0.023,-0.898,0.738
-0.059,-0.875,0.738
-0.082,-0.84,0.746
-0.086,-0.793,0.754
-0.078,-0.746,0.766
-0.066,-0.699,0.777
-0.051,-0.668,0.781
-0.047,-0.645,0.781
-0.043,-0.617,0.785
-0.043,-0.598,0.789
-0.043,-0.57,0.793
-0.043,-0.547,0.797
-0.043,-0.539,0.801
-0.047,-0.535,0.805
-0.059,-0.555,0.813
-0.066,-0.582,0.82
-0.082,-0.629,0.836
-0.086,-0.668,0.852
-0.09,-0.688,0.855
-0.082,-0.699,0.855
-0.074,-0.699,0.852
-0.066,-0.691,0.84
-0.059,-0.684,0.844
-0.066,-0.676,0.844
-0.07,-0.676,0.848
-0.09,-0.68,0.844
-0.113,-0.684,0.832
-0.113,-0.691,0.828
-0.113,-0.676,0.809
-0.109,-0.66,0.801
-0.102,-0.648,0.801
-0.094,-0.637,0.793
-0.086,-0.637,0.789
-0.078,-0.633,0.805
-0.078,-0.633,0.813
-0.078,-0.629,0.809
-0.086,-0.629,0.805
-0.086,-0.625,0.789
-0.098,-0.613,0.77
-0.109,-0.613,0.758
-0.129,-0.625,0.758
-0.133,-0.641,0.77
-0.125,-0.645,0.777
-0.117,-0.66,0.777
-0.113,-0.66,0.777
-0.113,-0.648,0.773
-0.105,-0.641,0.777
-0.098,-0.637,0.785
-0.102,-0.652,0.801
-0.105,-0.668,0.813
-0.105,-0.688,0.801
-0.109,-0.699,0.789
-0.109,-0.703,0.789
-0.113,-0.715,0.785
-0.109,-0.73,0.797
-0.113,-0.738,0.813
-0.121,-0.75,0.816
-0.113,-0.762,0.809
-0.105,-0.773,0.801
-0.086,-0.793,0.785
-0.059,-0.816,0.785
-0.035,-0.836,0.801
0.0,-0.859,0.805
0.031,-0.867,0.801
0.043,-0.859,0.801
0.047,-0.84,0.805
0.043,-0.797,0.809
0.039,-0.75,0.816
0.031,-0.691,0.832
0.027,-0.637,0.848
0.031,-0.613,0.855
0.027,-0.613,0.848
0.012,-0.617,0.844
0.012,-0.641,0.828
0.008,-0.66,0.805
0.027,-0.664,0.777
0.047,-0.656,0.742
0.086,-0.645,0.746
0.117,-0.629,0.734
0.141,-0.625,0.73
0.16,-0.625,0.734
0.172,-0.637,0.734
0.164,-0.656,0.73
0.156,-0.684,0.723
0.141,-0.691,0.723
0.125,-0.699,0.719
0.117,-0.711,0.719
0.117,-0.711,0.719
0.117,-0.711,0.719
0.121,-0.719,0.73
0.121,-0.727,0.734
0.117,-0.719,0.727
0.113,-0.707,0.723
0.113,-0.688,0.719
0.113,-0.68,0.711
0.113,-0.676,0.711
0.125,-0.688,0.715
0.129,-0.695,0.715
0.137,-0.715,0.719
0.141,-0.73,0.711
0.133,-0.727,0.703
0.125,-0.719,0.695
0.117,-0.703,0.707
0.102,-0.68,0.711
0.094,-0.656,0.715
0.09,-0.645,0.719
0.09,-0.629,0.73
0.09,-0.629,0.73
0.102,-0.633,0.727
0.117,-0.641,0.723
0.137,-0.648,0.719
0.148,-0.664,0.711
0.16,-0.668,0.695
0.168,-0.676,0.68
0.176,-0.684,0.68
0.18,-0.695,0.676
0.172,-0.719,0.672
0.164,-0.738,0.664
0.156,-0.77,0.652
0.145,-0.801,0.641
0.129,-0.82,0.633
0.117,-0.828,0.621
0.102,-0.82,0.629
0.09,-0.801,0.648
0.082,-0.789,0.668
0.09,-0.797,0.695
0.094,-0.82,0.703
0.117,-0.859,0.719
0.137,-0.902,0.719
0.145,-0.941,0.711
0.141,-0.969,0.695
0.129,-0.984,0.699
0.121,-0.996,0.723
0.109,-0.984,0.742
0.094,-0.953,0.762
0.082,-0.902,0.793
0.086,-0.82,0.824
0.082,-0.715,0.852
0.066,-0.598,0.867
0.047,-0.492,0.871
0.016,-0.426,0.871
-0.016,-0.41,0.863
-0.031,-0.43,0.844
-0.043,-0.488,0.813
-0.047,-0.578,0.797
-0.043,-0.684,0.809
-0.023,-0.785,0.813
-0.004,-0.84,0.789
0.004,-0.832,0.754
0.008,-0.781,0.746
0.004,-0.727,0.754
0.008,-0.684,0.781
0.012,-0.664,0.809
0.035,-0.664,0.813
0.059,-0.672,0.801
0.074,-0.688,0.789
0.082,-0.699,0.77
0.07,-0.707,0.75
0.059,-0.719,0.738
0.035,-0.711,0.734
0.02,-0.707,0.734
0.008,-0.695,0.734
0.004,-0.684,0.73
0.004,-0.676,0.723
0.016,-0.676,0.719
0.023,-0.668,0.703
0.023,-0.672,0.691
0.02,-0.672,0.68
0.016,-0.672,0.668
0.012,-0.672,0.66
-0.004,-0.668,0.656
-0.004,-0.66,0.656
-0.008,-0.664,0.652
-0.008,-0.668,0.656
-0.016,-0.676,0.652
-0.023,-0.68,0.664
-0.023,-0.684,0.668
-0.02,-0.707,0.703
-0.023,-0.727,0.723
-0.031,-0.762,0.73
-0.047,-0.793,0.727
