,0.066,-0.77,0.664
1701,-0.059,-0.73,0.758
1702,-0.074,-0.73,0.773
1703,-0.082,-0.719,0.781
1704,-0.086,-0.707,0.773
1705,-0.086,-0.711,0.77
1706,-0.086,-0.707,0.762
1707,-0.066,-0.707,0.758
1708,-0.039,-0.727,0.758
1709,-0.008,-0.73,0.754
1710,0.012,-0.734,0.75
1711,0.016,-0.715,0.754
1712,0.008,-0.688,0.77
1713,-0.004,-0.676,0.777
1714,-0.008,-0.676,0.785
1715,-0.008,-0.688,0.785
1716,-0.012,-0.703,0.777
1717,-0.027,-0.723,0.77
1718,-0.023,-0.73,0.762
1719,-0.016,-0.754,0.758
1720,0.016,-0.766,0.762
1721,0.074,-0.77,0.781
1722,0.145,-0.742,0.797
1723,0.195,-0.695,0.801
1724,0.215,-0.648,0.816
1725,0.203,-0.613,0.824
1726,0.191,-0.566,0.824
1727,0.191,-0.531,0.832
1728,0.234,-0.512,0.848
1729,0.27,-0.5,0.844
1730,0.297,-0.496,0.844
1731,0.293,-0.508,0.852
1732,0.277,-0.539,0.848
1733,0.273,-0.555,0.859
1734,0.273,-0.559,0.879
1735,0.27,-0.547,0.891
1736,0.273,-0.523,0.895
1737,0.266,-0.512,0.895
1738,0.254,-0.508,0.898
1739,0.258,-0.516,0.895
1740,0.277,-0.523,0.883
1741,0.297,-0.523,0.875
1742,0.316,-0.523,0.867
1743,0.328,-0.52,0.863
1744,0.336,-0.527,0.855
1745,0.352,-0.543,0.848
1746,0.363,-0.57,0.848
1747,0.383,-0.598,0.844
1748,0.395,-0.621,0.84
1749,0.398,-0.641,0.844
1750,0.402,-0.637,0.836
1751,0.41,-0.621,0.832
1752,0.426,-0.586,0.84
1753,0.418,-0.551,0.832
1754,0.398,-0.527,0.828
1755,0.391,-0.527,0.82
1756,0.375,-0.531,0.813
1757,0.375,-0.531,0.813
1758,0.391,-0.547,0.809
1759,0.402,-0.555,0.801
1760,0.402,-0.559,0.793
1761,0.387,-0.551,0.781
1762,0.375,-0.527,0.77
1763,0.367,-0.512,0.75
1764,0.355,-0.504,0.73
1765,0.344,-0.504,0.715
1766,0.348,-0.516,0.699
1767,0.352,-0.516,0.707
1768,0.363,-0.512,0.719
1769,0.383,-0.508,0.73
1770,0.41,-0.512,0.742
1771,0.414,-0.523,0.75
1772,0.402,-0.527,0.758
1773,0.375,-0.52,0.773
1774,0.348,-0.508,0.785
1775,0.316,-0.512,0.785
1776,0.289,-0.531,0.785
1777,0.246,-0.57,0.777
1778,0.211,-0.602,0.777
1779,0.168,-0.613,0.762
1780,0.129,-0.609,0.754
1781,0.113,-0.578,0.754
1782,0.113,-0.551,0.77
1783,0.125,-0.531,0.793
1784,0.129,-0.539,0.824
1785,0.141,-0.574,0.848
1786,0.156,-0.613,0.883
1787,0.18,-0.652,0.914
1788,0.195,-0.664,0.945
1789,0.191,-0.672,0.969
1790,0.172,-0.668,0.984
1791,0.137,-0.664,0.988
1792,0.121,-0.656,0.984
1793,0.113,-0.641,0.969
1794,0.102,-0.637,0.934
1795,0.09,-0.637,0.895
1796,0.086,-0.652,0.855
1797,0.078,-0.672,0.816
1798,0.063,-0.691,0.777
1799,0.047,-0.695,0.746
1800,0.035,-0.68,0.723
1801,0.031,-0.668,0.707
1802,0.039,-0.652,0.703
1803,0.051,-0.637,0.699
1804,0.059,-0.617,0.691
1805,0.059,-0.605,0.699
1806,0.055,-0.594,0.707
1807,0.051,-0.582,0.715
1808,0.047,-0.582,0.727
1809,0.059,-0.598,0.738
1810,0.063,-0.617,0.754
1811,0.07,-0.629,0.773
1812,0.074,-0.633,0.797
1813,0.074,-0.621,0.809
1814,0.074,-0.594,0.824
1815,0.074,-0.574,0.844
1816,0.074,-0.574,0.855
1817,0.074,-0.59,0.863
1818,0.063,-0.613,0.871
1819,0.063,-0.625,0.887
1820,0.07,-0.633,0.891
1821,0.082,-0.637,0.887
1822,0.098,-0.637,0.879
1823,0.105,-0.629,0.859
1824,0.094,-0.609,0.852
1825,0.086,-0.605,0.84
