,0.066,-0.77,0.664
500,0.031,-0.738,0.719
501,0.027,-0.73,0.719
502,0.031,-0.734,0.715
503,0.023,-0.742,0.715
504,0.027,-0.738,0.711
505,0.031,-0.75,0.715
506,0.039,-0.746,0.719
507,0.039,-0.742,0.719
508,0.039,-0.75,0.727
509,0.035,-0.758,0.723
510,0.035,-0.766,0.715
511,0.027,-0.773,0.715
512,0.02,-0.77,0.711
513,0.012,-0.762,0.703
514,0.008,-0.762,0.691
515,0.004,-0.77,0.684
516,-0.008,-0.77,0.68
517,-0.02,-0.758,0.68
518,-0.035,-0.758,0.68
519,-0.031,-0.758,0.68
520,-0.027,-0.758,0.684
521,-0.016,-0.75,0.695
522,-0.008,-0.742,0.707
523,0.0,-0.738,0.715
524,0.008,-0.738,0.715
525,0.012,-0.73,0.719
526,0.016,-0.719,0.715
527,0.0,-0.715,0.715
528,0.008,-0.719,0.715
529,0.008,-0.723,0.695
530,0.004,-0.719,0.688
531,0.008,-0.703,0.684
532,0.023,-0.68,0.676
533,0.043,-0.66,0.672
534,0.063,-0.656,0.66
535,0.086,-0.66,0.656
536,0.105,-0.672,0.652
537,0.125,-0.699,0.652
538,0.145,-0.73,0.656
539,0.148,-0.734,0.672
540,0.152,-0.738,0.695
541,0.176,-0.723,0.727
542,0.207,-0.711,0.754
543,0.234,-0.723,0.773
544,0.242,-0.754,0.789
545,0.25,-0.777,0.793
546,0.258,-0.797,0.789
547,0.262,-0.805,0.781
548,0.266,-0.809,0.766
549,0.262,-0.816,0.742
550,0.246,-0.813,0.719
551,0.227,-0.793,0.707
552,0.211,-0.77,0.695
553,0.207,-0.746,0.688
554,0.211,-0.73,0.672
555,0.215,-0.711,0.664
556,0.211,-0.688,0.668
557,0.207,-0.664,0.668
558,0.203,-0.648,0.676
559,0.199,-0.637,0.68
560,0.195,-0.633,0.684
561,0.199,-0.645,0.684
562,0.203,-0.66,0.684
563,0.211,-0.664,0.684
564,0.219,-0.668,0.684
565,0.223,-0.672,0.688
566,0.219,-0.688,0.684
567,0.219,-0.707,0.695
568,0.219,-0.734,0.703
569,0.215,-0.738,0.703
570,0.207,-0.75,0.703
571,0.203,-0.754,0.715
572,0.207,-0.75,0.719
573,0.219,-0.742,0.73
574,0.23,-0.75,0.742
575,0.238,-0.766,0.75
576,0.227,-0.777,0.77
577,0.207,-0.809,0.789
578,0.223,-0.848,0.801
579,0.215,-0.875,0.789
580,0.199,-0.898,0.785
581,0.18,-0.945,0.781
582,0.133,-1.0,0.766
583,0.063,-1.012,0.766
584,0.012,-0.973,0.777
585,0.016,-0.922,0.781
586,0.051,-0.855,0.785
587,0.082,-0.785,0.797
588,0.066,-0.719,0.793
589,0.031,-0.637,0.801
590,-0.016,-0.566,0.813
591,-0.043,-0.516,0.813
592,-0.074,-0.48,0.801
593,-0.098,-0.477,0.801
594,-0.109,-0.477,0.813
595,-0.105,-0.488,0.82
596,-0.094,-0.52,0.824
597,-0.074,-0.555,0.828
598,-0.063,-0.594,0.84
599,-0.055,-0.629,0.852
600,-0.047,-0.66,0.855
601,-0.039,-0.684,0.852
602,-0.039,-0.695,0.844
603,-0.047,-0.699,0.832
604,-0.059,-0.703,0.801
605,-0.055,-0.719,0.781
606,-0.047,-0.73,0.75
607,-0.031,-0.734,0.727
608,-0.027,-0.734,0.707
609,-0.031,-0.738,0.691
610,-0.035,-0.727,0.688
611,-0.047,-0.695,0.691
612,-0.051,-0.68,0.703
613,-0.055,-0.676,0.723
614,-0.059,-0.676,0.734
615,-0.059,-0.676,0.738
616,-0.047,-0.668,0.738
617,-0.039,-0.648,0.738
618,-0.031,-0.648,0.734
619,-0.043,-0.641,0.719
620,-0.051,-0.645,0.699
621,-0.059,-0.66,0.676
622,-0.059,-0.668,0.66
623,-0.063,-0.668,0.652
624,-0.063,-0.691,0.648
625,-0.07,-0.715,0.648
626,-0.07,-0.73,0.641
627,-0.078,-0.746,0.637
628,-0.066,-0.75,0.648
629,-0.063,-0.742,0.645
630,-0.063,-0.742,0.648
631,-0.066,-0.738,0.656
632,-0.074,-0.746,0.66
633,-0.078,-0.773,0.676
634,-0.07,-0.797,0.691
635,-0.059,-0.816,0.695
636,-0.047,-0.828,0.707
637,-0.031,-0.836,0.715
638,-0.012,-0.84,0.723
639,-0.004,-0.844,0.73
640,0.0,-0.848,0.734
641,-0.008,-0.852,0.727
642,-0.008,-0.855,0.723
643,-0.012,-0.852,0.711
644,-0.027,-0.855,0.691
645,-0.035,-0.922,0.68
646,-0.016,-1.031,0.664
647,0.066,-1.059,0.66
648,0.195,-0.969,0.688
649,0.281,-0.836,0.734
650,0.293,-0.688,0.762
651,0.281,-0.578,0.777
652,0.277,-0.535,0.77
653,0.285,-0.57,0.758
654,0.27,-0.652,0.75
655,0.25,-0.715,0.766
656,0.23,-0.734,0.777
657,0.219,-0.723,0.781
658,0.211,-0.707,0.789
659,0.184,-0.691,0.785
660,0.152,-0.68,0.777
661,0.117,-0.672,0.762
662,0.102,-0.66,0.754
663,0.105,-0.656,0.734
664,0.121,-0.66,0.715
665,0.145,-0.688,0.695
666,0.168,-0.715,0.668
667,0.188,-0.734,0.648
668,0.191,-0.734,0.633
669,0.188,-0.719,0.641
670,0.184,-0.715,0.645
671,0.184,-0.719,0.645
672,0.18,-0.719,0.645
673,0.172,-0.73,0.645
674,0.172,-0.723,0.645
675,0.176,-0.715,0.652
676,0.168,-0.695,0.66
677,0.148,-0.684,0.66
678,0.148,-0.684,0.664
679,0.152,-0.68,0.66
680,0.172,-0.691,0.656
681,0.195,-0.707,0.652
682,0.207,-0.723,0.648
683,0.223,-0.73,0.648
684,0.223,-0.734,0.652
685,0.223,-0.73,0.652
686,0.219,-0.734,0.652
687,0.219,-0.73,0.648
688,0.211,-0.719,0.633
689,0.203,-0.699,0.629
690,0.203,-0.684,0.625
691,0.203,-0.668,0.637
692,0.203,-0.676,0.652
693,0.203,-0.699,0.668
694,0.207,-0.738,0.691
695,0.211,-0.773,0.707
696,0.227,-0.789,0.719
697,0.25,-0.781,0.738
698,0.262,-0.754,0.75
699,0.258,-0.746,0.742
700,0.23,-0.789,0.719
701,0.176,-0.867,0.691
702,0.082,-0.918,0.672
703,-0.016,-0.887,0.699
704,-0.082,-0.777,0.746
705,-0.109,-0.648,0.793
706,-0.102,-0.586,0.848
707,-0.059,-0.613,0.895
708,-0.02,-0.715,0.93
709,-0.016,-0.82,0.941
710,-0.016,-0.871,0.953
711,0.0,-0.859,0.957
712,0.016,-0.816,0.961
713,0.023,-0.781,0.941
714,0.02,-0.762,0.906
715,0.012,-0.75,0.859
716,-0.012,-0.738,0.816
717,-0.02,-0.738,0.789
718,-0.016,-0.734,0.746
719,0.008,-0.723,0.711
720,0.027,-0.703,0.684
721,0.027,-0.68,0.66
722,0.027,-0.664,0.637
723,0.031,-0.641,0.613
724,0.031,-0.625,0.605
725,0.035,-0.609,0.609
726,0.043,-0.621,0.605
727,0.035,-0.645,0.59
728,0.027,-0.68,0.586
729,0.023,-0.703,0.582
730,0.016,-0.723,0.59
731,0.008,-0.742,0.605
732,0.008,-0.754,0.629
733,-0.004,-0.766,0.645
734,-0.016,-0.777,0.652
735,-0.023,-0.793,0.664
736,-0.027,-0.813,0.664
737,-0.043,-0.824,0.672
738,-0.051,-0.832,0.672
739,-0.047,-0.84,0.668
740,-0.043,-0.82,0.668
741,-0.043,-0.797,0.668
742,-0.047,-0.781,0.664
743,-0.051,-0.773,0.664
744,-0.043,-0.762,0.664
745,-0.031,-0.754,0.66
746,-0.027,-0.754,0.656
