x_acc,y_acc,z_acc
0.367,-0.367,1.043
0.324,-0.402,1.031
0.285,-0.465,1.004
0.234,-0.504,0.98
0.176,-0.527,0.969
0.129,-0.539,0.957
0.102,-0.555,0.961
0.078,-0.566,0.969
0.055,-0.563,0.984
0.055,-0.527,0.992
0.066,-0.488,0.984
0.063,-0.457,0.969
0.051,-0.426,0.938
0.027,-0.41,0.902
0.004,-0.414,0.863
-0.008,-0.418,0.832
-0.02,-0.434,0.801
-0.016,-0.438,0.785
-0.004,-0.441,0.77
0.004,-0.449,0.762
0.008,-0.457,0.754
0.023,-0.461,0.754
0.035,-0.469,0.754
0.027,-0.465,0.75
0.031,-0.477,0.746
0.035,-0.484,0.738
0.043,-0.492,0.734
0.059,-0.512,0.742
0.078,-0.523,0.75
0.102,-0.527,0.762
0.109,-0.539,0.777
0.129,-0.551,0.801
0.137,-0.547,0.824
0.148,-0.531,0.852
0.156,-0.523,0.883
0.164,-0.543,0.91
0.172,-0.574,0.926
0.18,-0.613,0.934
0.188,-0.652,0.93
0.199,-0.68,0.91
0.199,-0.703,0.879
0.176,-0.734,0.855
0.145,-0.82,0.852
0.047,-0.969,0.832
-0.098,-1.047,0.824
-0.152,-0.965,0.859
-0.082,-0.773,0.906
-0.012,-0.59,0.949
0.016,-0.445,0.992
0.039,-0.348,1.023
0.055,-0.328,1.027
0.043,-0.391,1.023
0.016,-0.508,1.008
-0.008,-0.629,0.984
-0.012,-0.699,0.969
0.004,-0.719,0.965
0.016,-0.703,0.965
0.031,-0.68,0.973
0.047,-0.652,0.969
0.066,-0.613,0.961
0.086,-0.559,0.941
0.105,-0.52,0.914
0.125,-0.508,0.883
0.133,-0.508,0.836
0.137,-0.504,0.793
0.129,-0.496,0.75
0.113,-0.484,0.711
0.102,-0.473,0.676
0.094,-0.473,0.652
0.094,-0.48,0.629
0.098,-0.484,0.617
0.109,-0.484,0.613
0.113,-0.477,0.621
0.105,-0.477,0.629
0.113,-0.488,0.645
0.109,-0.488,0.66
0.098,-0.496,0.684
0.082,-0.512,0.711
0.066,-0.551,0.734
0.063,-0.586,0.773
0.047,-0.621,0.805
0.031,-0.648,0.84
0.027,-0.66,0.883
0.023,-0.668,0.914
0.023,-0.668,0.945
0.023,-0.68,0.961
0.027,-0.688,0.965
0.043,-0.703,0.953
0.063,-0.734,0.938
0.09,-0.805,0.949
0.137,-0.926,0.969
0.219,-0.969,0.949
0.324,-0.828,0.953
0.383,-0.664,0.996
0.387,-0.582,1.02
0.398,-0.535,1.008
0.406,-0.488,0.98
0.387,-0.449,0.953
0.348,-0.457,0.941
0.293,-0.516,0.914
0.246,-0.57,0.891
0.207,-0.613,0.891
0.188,-0.621,0.906
0.191,-0.609,0.918
0.191,-0.59,0.945
0.18,-0.574,0.969
0.156,-0.559,0.984
0.145,-0.543,0.965
0.141,-0.523,0.945
0.133,-0.492,0.91
0.113,-0.461,0.875
0.094,-0.438,0.836
0.063,-0.43,0.793
0.039,-0.438,0.754
0.035,-0.453,0.727
0.035,-0.465,0.699
0.039,-0.48,0.68
0.047,-0.488,0.66
0.051,-0.484,0.652
0.043,-0.473,0.648
0.039,-0.465,0.648
0.039,-0.473,0.645
0.051,-0.488,0.641
0.047,-0.5,0.641
0.074,-0.504,0.652
0.098,-0.504,0.66
0.109,-0.512,0.68
0.125,-0.527,0.715
0.141,-0.555,0.742
0.168,-0.578,0.77
0.199,-0.574,0.801
0.238,-0.563,0.836
0.262,-0.566,0.871
0.27,-0.586,0.906
0.273,-0.629,0.918
0.273,-0.684,0.922
0.266,-0.73,0.906
0.246,-0.773,0.883
0.223,-0.801,0.859
0.188,-0.875,0.855
0.105,-1.043,0.855
-0.07,-1.18,0.855
-0.172,-1.148,0.906
-0.121,-0.957,0.961
-0.043,-0.711,1.016
0.008,-0.484,1.078
0.039,-0.324,1.117
0.066,-0.277,1.121
0.074,-0.324,1.109
0.047,-0.422,1.098
0.016,-0.523,1.059
0.008,-0.586,1.016
0.023,-0.586,0.992
0.063,-0.578,0.977
0.094,-0.602,0.953
0.094,-0.617,0.926
0.082,-0.59,0.91
0.086,-0.543,0.887
0.098,-0.496,0.871
0.109,-0.457,0.84
0.117,-0.453,0.809
0.121,-0.457,0.777
0.117,-0.465,0.742
0.109,-0.484,0.715
0.113,-0.484,0.695
0.121,-0.477,0.672
0.137,-0.473,0.66
0.145,-0.469,0.652
0.137,-0.469,0.652
0.129,-0.469,0.656
0.125,-0.48,0.668
0.117,-0.488,0.676
0.109,-0.504,0.68
0.078,-0.512,0.691
0.063,-0.527,0.719
0.039,-0.547,0.746
0.012,-0.578,0.773
-0.016,-0.617,0.816
-0.035,-0.664,0.844
-0.047,-0.691,0.867
-0.039,-0.695,0.906
-0.023,-0.676,0.938
-0.004,-0.684,0.953
0.02,-0.691,0.957
0.051,-0.688,0.957
0.055,-0.684,0.949
0.055,-0.734,0.949
0.09,-0.863,0.977
0.18,-0.977,0.961
0.32,-0.863,0.926
0.418,-0.641,0.98
0.457,-0.527,1.031
0.477,-0.48,1.02
0.5,-0.445,1.008
0.484,-0.418,1.023
0.41,-0.438,1.039
0.328,-0.488,1.039
0.262,-0.539,1.02
0.207,-0.578,1.012
