,-0.066,-0.848,0.574
500,-0.016,-0.855,0.582
501,-0.016,-0.855,0.574
502,-0.02,-0.859,0.57
503,-0.023,-0.871,0.566
504,-0.02,-0.875,0.563
505,-0.027,-0.879,0.559
506,-0.027,-0.871,0.559
507,-0.031,-0.867,0.555
508,-0.047,-0.867,0.547
509,-0.043,-0.867,0.551
510,-0.039,-0.863,0.539
511,-0.035,-0.871,0.527
512,-0.035,-0.875,0.52
513,-0.031,-0.871,0.512
514,-0.031,-0.863,0.508
515,-0.031,-0.859,0.508
516,-0.031,-0.852,0.5
517,-0.031,-0.848,0.492
518,-0.027,-0.848,0.496
519,-0.027,-0.855,0.496
520,-0.027,-0.863,0.496
521,-0.02,-0.867,0.492
522,-0.016,-0.867,0.492
523,-0.012,-0.875,0.488
524,-0.016,-0.875,0.488
525,-0.023,-0.883,0.5
526,-0.027,-0.891,0.504
527,-0.035,-0.895,0.504
528,-0.039,-0.895,0.504
529,-0.035,-0.895,0.508
530,-0.039,-0.902,0.512
531,-0.043,-0.906,0.516
532,-0.047,-0.914,0.523
533,-0.047,-0.918,0.516
534,-0.055,-0.93,0.52
535,-0.07,-0.934,0.516
536,-0.082,-0.945,0.512
537,-0.094,-0.953,0.516
538,-0.113,-0.957,0.52
539,-0.125,-0.945,0.527
540,-0.137,-0.93,0.535
541,-0.141,-0.906,0.547
542,-0.137,-0.898,0.551
543,-0.137,-0.91,0.563
544,-0.137,-0.918,0.57
545,-0.141,-0.906,0.574
546,-0.125,-0.887,0.586
547,-0.117,-0.875,0.598
548,-0.105,-0.875,0.602
549,-0.105,-0.887,0.598
550,-0.098,-0.898,0.582
551,-0.098,-0.902,0.578
552,-0.102,-0.895,0.574
553,-0.094,-0.887,0.566
554,-0.086,-0.871,0.566
555,-0.09,-0.871,0.566
556,-0.09,-0.875,0.563
557,-0.094,-0.875,0.551
558,-0.102,-0.867,0.535
559,-0.102,-0.871,0.539
560,-0.105,-0.855,0.523
561,-0.109,-0.844,0.52
562,-0.109,-0.836,0.523
563,-0.109,-0.828,0.535
564,-0.113,-0.816,0.543
565,-0.117,-0.813,0.543
566,-0.125,-0.809,0.543
567,-0.125,-0.816,0.543
568,-0.129,-0.828,0.547
569,-0.129,-0.84,0.551
570,-0.129,-0.852,0.547
571,-0.133,-0.863,0.547
572,-0.129,-0.863,0.551
573,-0.133,-0.875,0.551
574,-0.129,-0.879,0.555
575,-0.121,-0.891,0.551
576,-0.113,-0.898,0.555
577,-0.105,-0.91,0.555
578,-0.094,-0.906,0.543
579,-0.082,-0.898,0.531
580,-0.078,-0.887,0.523
581,-0.082,-0.875,0.516
582,-0.09,-0.871,0.508
583,-0.086,-0.875,0.504
584,-0.098,-0.883,0.5
585,-0.094,-0.883,0.492
586,-0.094,-0.887,0.488
587,-0.102,-0.883,0.48
588,-0.105,-0.879,0.48
589,-0.109,-0.871,0.488
590,-0.105,-0.871,0.492
591,-0.102,-0.871,0.496
592,-0.098,-0.875,0.5
593,-0.098,-0.879,0.504
594,-0.094,-0.879,0.508
595,-0.102,-0.871,0.516
596,-0.105,-0.871,0.52
597,-0.105,-0.867,0.523
598,-0.109,-0.863,0.531
599,-0.109,-0.867,0.531
600,-0.098,-0.863,0.535
601,-0.094,-0.859,0.539
602,-0.094,-0.859,0.539
603,-0.09,-0.852,0.539
604,-0.098,-0.855,0.539
605,-0.094,-0.859,0.539
606,-0.094,-0.871,0.539
607,-0.098,-0.875,0.539
608,-0.109,-0.871,0.539
609,-0.105,-0.875,0.539
610,-0.105,-0.863,0.535
611,-0.102,-0.855,0.531
612,-0.105,-0.855,0.523
613,-0.109,-0.848,0.52
614,-0.109,-0.844,0.516
615,-0.109,-0.836,0.512
616,-0.113,-0.828,0.504
617,-0.113,-0.824,0.492
618,-0.117,-0.832,0.48
619,-0.117,-0.844,0.473
620,-0.105,-0.871,0.469
621,-0.098,-0.91,0.473
622,-0.078,-0.953,0.477
623,-0.055,-0.996,0.492
624,-0.023,-1.023,0.516
625,0.004,-1.023,0.543
626,0.031,-0.992,0.57
627,0.047,-0.965,0.578
628,0.047,-0.938,0.586
629,0.035,-0.93,0.594
