,-0.066,-0.848,0.574
3501,0.031,-0.707,0.707
3502,0.027,-0.703,0.711
3503,0.027,-0.695,0.719
3504,0.027,-0.691,0.73
3505,0.023,-0.688,0.742
3506,0.02,-0.688,0.746
3507,0.023,-0.688,0.75
3508,0.02,-0.695,0.754
3509,0.027,-0.707,0.762
3510,0.027,-0.715,0.75
3511,0.02,-0.734,0.738
3512,0.012,-0.75,0.723
3513,0.012,-0.777,0.715
3514,-0.004,-0.816,0.723
3515,-0.035,-0.816,0.742
3516,-0.074,-0.781,0.754
3517,-0.109,-0.762,0.766
3518,-0.133,-0.75,0.77
3519,-0.137,-0.754,0.777
3520,-0.145,-0.773,0.777
3521,-0.164,-0.781,0.773
3522,-0.172,-0.773,0.773
3523,-0.176,-0.754,0.762
3524,-0.172,-0.742,0.758
3525,-0.152,-0.73,0.754
3526,-0.141,-0.719,0.746
3527,-0.129,-0.719,0.754
3528,-0.125,-0.727,0.773
3529,-0.117,-0.734,0.801
3530,-0.109,-0.742,0.82
3531,-0.105,-0.746,0.832
3532,-0.102,-0.746,0.832
3533,-0.102,-0.742,0.832
3534,-0.09,-0.73,0.828
3535,-0.078,-0.727,0.816
3536,-0.07,-0.723,0.797
3537,-0.066,-0.719,0.781
3538,-0.059,-0.711,0.766
3539,-0.059,-0.703,0.758
3540,-0.055,-0.695,0.746
3541,-0.063,-0.699,0.742
3542,-0.07,-0.703,0.73
3543,-0.078,-0.695,0.715
3544,-0.082,-0.688,0.715
3545,-0.074,-0.68,0.719
3546,-0.066,-0.668,0.727
3547,-0.07,-0.664,0.746
3548,-0.082,-0.672,0.762
3549,-0.102,-0.68,0.766
3550,-0.117,-0.691,0.773
3551,-0.125,-0.699,0.766
3552,-0.121,-0.691,0.762
3553,-0.117,-0.699,0.766
3554,-0.113,-0.711,0.773
3555,-0.109,-0.723,0.773
3556,-0.102,-0.73,0.77
3557,-0.098,-0.734,0.762
3558,-0.098,-0.727,0.75
3559,-0.086,-0.715,0.746
3560,-0.094,-0.711,0.73
3561,-0.109,-0.711,0.719
3562,-0.121,-0.707,0.707
3563,-0.137,-0.711,0.703
3564,-0.152,-0.707,0.691
3565,-0.148,-0.707,0.695
3566,-0.137,-0.703,0.699
3567,-0.125,-0.695,0.691
3568,-0.121,-0.691,0.691
3569,-0.129,-0.684,0.688
3570,-0.137,-0.676,0.68
3571,-0.141,-0.672,0.68
3572,-0.152,-0.672,0.684
3573,-0.164,-0.668,0.684
3574,-0.176,-0.668,0.684
3575,-0.176,-0.664,0.695
3576,-0.168,-0.66,0.703
3577,-0.156,-0.668,0.707
3578,-0.141,-0.699,0.715
3579,-0.133,-0.738,0.719
3580,-0.121,-0.785,0.719
3581,-0.109,-0.828,0.715
3582,-0.086,-0.859,0.707
3583,-0.047,-0.867,0.691
3584,-0.008,-0.855,0.684
3585,0.016,-0.855,0.68
3586,0.027,-0.852,0.68
3587,0.016,-0.844,0.68
3588,0.0,-0.824,0.68
3589,-0.008,-0.809,0.68
3590,-0.016,-0.797,0.66
3591,-0.023,-0.785,0.645
3592,-0.02,-0.781,0.633
3593,-0.012,-0.77,0.605
3594,0.004,-0.758,0.598
3595,0.02,-0.742,0.594
3596,0.027,-0.734,0.598
3597,0.031,-0.738,0.605
3598,0.027,-0.742,0.621
3599,0.023,-0.754,0.633
3600,0.023,-0.777,0.637
3601,0.016,-0.789,0.633
3602,0.004,-0.797,0.621
3603,0.008,-0.797,0.617
3604,0.02,-0.789,0.613
3605,0.027,-0.797,0.605
3606,0.031,-0.805,0.602
3607,0.027,-0.82,0.59
3608,0.016,-0.836,0.582
3609,0.023,-0.859,0.574
3610,0.02,-0.871,0.566
3611,0.016,-0.875,0.555
3612,0.02,-0.863,0.551
3613,0.027,-0.859,0.555
3614,0.039,-0.852,0.555
3615,0.035,-0.852,0.555
3616,0.027,-0.852,0.551
3617,0.02,-0.848,0.547
3618,0.016,-0.844,0.543
3619,0.012,-0.844,0.539
3620,0.016,-0.84,0.547
3621,0.023,-0.832,0.551
3622,0.023,-0.828,0.559
3623,0.016,-0.828,0.566
3624,0.0,-0.82,0.57
3625,-0.008,-0.813,0.578
3626,-0.012,-0.797,0.582
3627,-0.016,-0.785,0.59
3628,-0.012,-0.77,0.609
3629,-0.004,-0.758,0.625
3630,0.0,-0.766,0.637
3631,0.004,-0.777,0.641
3632,0.0,-0.801,0.637
3633,-0.008,-0.824,0.637
3634,-0.02,-0.844,0.641
3635,-0.031,-0.867,0.641
3636,-0.055,-0.887,0.645
3637,-0.078,-0.902,0.648
3638,-0.113,-0.895,0.656
3639,-0.137,-0.887,0.66
3640,-0.148,-0.871,0.668
3641,-0.148,-0.871,0.684
3642,-0.16,-0.883,0.699
3643,-0.168,-0.902,0.703
3644,-0.172,-0.914,0.699
3645,-0.168,-0.898,0.691
3646,-0.164,-0.879,0.688
3647,-0.152,-0.859,0.684
3648,-0.137,-0.836,0.688
3649,-0.129,-0.82,0.684
3650,-0.121,-0.813,0.68
3651,-0.125,-0.813,0.664
3652,-0.133,-0.813,0.648
3653,-0.133,-0.809,0.641
3654,-0.125,-0.793,0.637
3655,-0.113,-0.777,0.637
3656,-0.102,-0.762,0.645
3657,-0.102,-0.758,0.645
3658,-0.105,-0.758,0.641
3659,-0.102,-0.77,0.645
3660,-0.102,-0.773,0.641
3661,-0.109,-0.773,0.641
3662,-0.109,-0.77,0.645
3663,-0.109,-0.766,0.652
3664,-0.113,-0.773,0.652
3665,-0.117,-0.789,0.648
3666,-0.113,-0.805,0.641
3667,-0.113,-0.82,0.637
3668,-0.117,-0.824,0.637
3669,-0.121,-0.836,0.637
3670,-0.113,-0.84,0.633
3671,-0.109,-0.84,0.633
3672,-0.105,-0.844,0.633
3673,-0.098,-0.844,0.633
3674,-0.094,-0.848,0.621
3675,-0.094,-0.848,0.613
3676,-0.094,-0.844,0.609
3677,-0.098,-0.844,0.609
3678,-0.102,-0.848,0.605
3679,-0.105,-0.848,0.598
3680,-0.102,-0.848,0.59
3681,-0.098,-0.836,0.582
3682,-0.094,-0.828,0.578
3683,-0.094,-0.824,0.578
3684,-0.09,-0.816,0.578
3685,-0.082,-0.82,0.582
3686,-0.078,-0.816,0.582
3687,-0.082,-0.816,0.578
3688,-0.078,-0.816,0.574
3689,-0.086,-0.82,0.574
3690,-0.09,-0.824,0.566
3691,-0.094,-0.824,0.57
3692,-0.098,-0.82,0.57
3693,-0.098,-0.82,0.57
3694,-0.105,-0.816,0.57
3695,-0.113,-0.813,0.566
3696,-0.121,-0.805,0.566
3697,-0.133,-0.813,0.559
3698,-0.133,-0.816,0.555
3699,-0.133,-0.824,0.555
3700,-0.137,-0.836,0.547
3701,-0.129,-0.84,0.543
3702,-0.125,-0.84,0.539
3703,-0.125,-0.84,0.547
3704,-0.121,-0.844,0.555
3705,-0.125,-0.848,0.559
3706,-0.133,-0.859,0.563
3707,-0.133,-0.867,0.566
3708,-0.145,-0.875,0.566
3709,-0.129,-0.898,0.566
3710,-0.117,-0.922,0.551
3711,-0.109,-0.934,0.531
3712,-0.094,-0.938,0.52
3713,-0.082,-0.93,0.512
3714,-0.086,-0.941,0.508
3715,-0.098,-0.961,0.512
3716,-0.094,-0.977,0.512
3717,-0.086,-0.977,0.516
3718,-0.07,-0.949,0.531
3719,-0.059,-0.91,0.547
3720,-0.055,-0.871,0.547
3721,-0.059,-0.844,0.539
3722,-0.059,-0.82,0.535
3723,-0.043,-0.805,0.52
3724,-0.031,-0.793,0.504
3725,-0.012,-0.785,0.504
3726,0.008,-0.777,0.516
3727,0.023,-0.781,0.52
3728,0.027,-0.805,0.523
3729,0.023,-0.832,0.52
3730,0.023,-0.84,0.512
3731,0.02,-0.844,0.508
3732,0.02,-0.848,0.508
3733,0.023,-0.848,0.508
3734,0.027,-0.844,0.516
3735,0.031,-0.848,0.52
3736,0.031,-0.859,0.52
3737,0.039,-0.875,0.52
3738,0.043,-0.898,0.512
3739,0.039,-0.926,0.504
3740,0.035,-0.938,0.492
3741,0.023,-0.938,0.496
3742,0.023,-0.926,0.504
3743,0.031,-0.906,0.508
3744,0.043,-0.902,0.512
3745,0.039,-0.906,0.516
3746,0.031,-0.91,0.516
3747,0.02,-0.898,0.516
3748,0.004,-0.887,0.516
3749,-0.008,-0.879,0.508
3750,-0.008,-0.879,0.504
3751,-0.004,-0.883,0.496
3752,-0.004,-0.879,0.488
3753,-0.008,-0.871,0.488
3754,-0.008,-0.863,0.496
3755,-0.008,-0.863,0.492
3756,-0.012,-0.863,0.496
3757,-0.004,-0.863,0.492
3758,-0.012,-0.855,0.488
3759,0.004,-0.852,0.496
3760,0.012,-0.848,0.48
3761,0.004,-0.852,0.473
3762,0.008,-0.867,0.465
3763,0.004,-0.879,0.473
3764,0.008,-0.891,0.473
3765,0.012,-0.895,0.473
3766,0.012,-0.895,0.477
3767,0.016,-0.883,0.484
3768,0.016,-0.867,0.488
3769,0.004,-0.867,0.504
3770,-0.004,-0.879,0.504
