ID,group,x_acc__max,x_acc__min,x_acc__mean,x_acc__median,x_acc__std,x_acc__var,x_acc__sum,y_acc__max,y_acc__min,y_acc__mean,y_acc__median,y_acc__std,y_acc__var,y_acc__sum,z_acc__max,z_acc__min,z_acc__mean,z_acc__median,z_acc__std,z_acc__var,z_acc__sum,mag__max,mag__min,mag__mean,mag__median,mag__std,mag__var,mag__sum,x_acc__freezing_index,x_acc__central_frequency,x_acc__dominant_frequency,x_acc__amplitude,x_acc__relative_amplitude,x_acc__percentile25,x_acc__percentile50,x_acc__percentile75,y_acc__freezing_index,y_acc__central_frequency,y_acc__dominant_frequency,y_acc__amplitude,y_acc__relative_amplitude,y_acc__percentile25,y_acc__percentile50,y_acc__percentile75,z_acc__freezing_index,z_acc__central_frequency,z_acc__dominant_frequency,z_acc__amplitude,z_acc__relative_amplitude,z_acc__percentile25,z_acc__percentile50,z_acc__percentile75,mag__freezing_index,mag__central_frequency,mag__dominant_frequency,mag__amplitude,mag__relative_amplitude,mag__percentile25,mag__percentile50,mag__percentile75
001-1,0,0.41,-0.449,-0.007910802541774536,-0.004,0.12140126535693291,0.014738267230264439,-33.61300000000001,0.086,-1.133,-0.3906112026359143,-0.383,0.14850370913173797,0.022053351625883833,-1659.7069999999999,1.293,0.574,0.9610654271593316,0.957,0.0896183814126173,0.00803145428701735,4083.567,1.589460914901653,0.7316262707147686,1.0543890328389034,1.0379431583665841,0.09677263674072166,0.009364943221751671,4480.0990005325,0.15216612650269726,1.530037741239916,0.5859375,0.014849240881502893,0.23344058570109125,-0.086,-0.004,0.074,0.24495987643619155,2.6646830186923345,1.3671875,0.015829973120817624,0.1910182450023288,-0.477,-0.383,-0.293,0.5111733463931478,2.6088862545330525,1.5625,0.0030952130244065556,0.08681127050179316,0.898,0.957,1.02,0.3909191243811255,2.911399072210885,1.5625,0.006234683789565258,0.1285381836357505,0.9908425707447173,1.0379431583665841,1.1051986246824594
001-2,0,0.293,-0.34,-0.02281969608416131,-0.016,0.10380958913229181,0.010776430795815237,-78.089,0.102,-1.191,-0.4301499123319696,-0.422,0.16214183932027673,0.026289976058162436,-1471.973,1.176,0.652,0.9400280537697253,0.938,0.09679661821931454,0.009369585298695735,3216.776,1.451100616773351,0.8500552923192702,1.0516181726363198,1.0332008517219986,0.09862510451362008,0.009726911240322484,3598.6373867614866,0.16337242255151913,2.0589262515743942,0.78125,0.01196216414179963,0.2558380356993928,-0.094,-0.016,0.051,0.29870144065470267,3.1368355478567844,1.5625,0.019451267289981235,0.2141104986111143,-0.531,-0.422,-0.32,0.4329484674652464,2.523381063243403,1.5625,0.006055913608735988,0.16905880585684083,0.875,0.938,1.008,0.29114011484899965,2.924864740037627,1.5625,0.014912086574870524,0.2543993207303528,0.9832385252660045,1.0332008517219986,1.1052335724906777
002-1,0,0.301,-0.242,0.015847413472273916,0.004,0.11356259150332677,0.012896462188951465,42.58200000000001,-0.57,-1.355,-0.7712433941198363,-0.746,0.13703114583682896,0.01877753492935429,-2072.331,0.992,0.422,0.6600803870487533,0.656,0.11901406938046419,0.014164348710497942,1773.636,1.6220761387801745,0.7484550754721354,1.0235738162650632,1.0076080587212468,0.17000681276942367,0.028902316388017876,2750.342844304225,0.17203143657821723,2.0883264316268306,0.9765625,0.023199141900741127,0.3598327897140527,-0.082,0.004,0.109,0.3000430158564257,3.464231217248684,1.953125,0.043223161842340416,0.385131663082379,-0.828,-0.746,-0.668,0.06483218042231256,2.2009725085757776,1.953125,0.046020274021205926,0.544467301990738,0.566,0.656,0.746,0.12520877181389137,2.597636526608473,1.953125,0.08892140651434757,0.49994041141447015,0.8840124424133429,1.0076080587212468,1.1159135211281193
002-2,0,0.309,-0.184,0.031083591331269346,0.043,0.11157515438997911,0.012449015077147674,80.32,-0.563,-1.293,-0.7772225232198142,-0.758,0.14469212920150268,0.020935812252864346,-2008.3429999999998,0.98,0.398,0.651813080495356,0.656,0.12278724997506037,0.015076708756437962,1684.285,1.5641665512342349,0.7191835648845154,1.0229852520912268,1.0050392994426596,0.17848702076040415,0.03185761657992495,2643.3938914037303,0.30856083027519554,2.258567047691588,0.9765625,0.021431847940685006,0.33629371473794084,-0.066,0.043,0.121,0.24352075213537935,3.49498010191646,1.953125,0.046024719984253656,0.37267974885237526,-0.848,-0.758,-0.668,0.04832785068274877,2.221276906911095,1.953125,0.047191217534261434,0.5154347775048095,0.559,0.656,0.734,0.09273455421377713,2.604787163539165,1.953125,0.09343006908554147,0.4770930943632927,0.875568359526582,1.0050392994426596,1.1285077520106084
003-1,0,0.598,-0.434,0.03440707103470646,0.027,0.16557393948725785,0.027414729437330126,106.077,-0.316,-1.832,-0.7972471618553357,-0.77,0.20555180610038715,0.04225154499113115,-2457.913,1.105,0.363,0.6356042815439507,0.637,0.13670703294424572,0.018688812856419084,1959.5679999999998,2.0223867088170846,0.6579422467055904,1.0389198226493253,1.0080163689147117,0.2230871121380863,0.04976785960211109,3202.9898132278695,0.8364440472245634,2.8986478377238614,0.9765625,0.03434058284375179,0.22178989592549336,-0.094,0.027,0.148,0.7869448876715973,5.19802488506647,2.1484375,0.052689284182625015,0.21888106227876153,-0.844,-0.77,-0.688,0.22515866038599663,2.7318395193091725,2.1484375,0.03984498299632002,0.41091031835396413,0.531,0.637,0.715,0.4032135620112795,3.991431473010245,2.1484375,0.10132556260692169,0.33540839220453944,0.9278528919343192,1.0080163689147117,1.0898596164180148
003-2,0,0.621,-0.547,0.04332262382864792,0.035,0.17952033417377675,0.03222755038186448,129.44799999999998,-0.387,-1.938,-0.7945140562248996,-0.754,0.22065891404469673,0.048690356347384854,-2374.008,1.105,0.359,0.6373028781793842,0.645,0.14539719319218167,0.0211403437881646,1904.261,2.1654119700417285,0.5820558392456862,1.0407961483313564,1.0099732617235748,0.24097987622351133,0.05807130074469884,3109.898891214093,1.3187306459652026,3.2601477763314684,3.3203125,0.0346546314775338,0.18747029029348172,-0.098,0.035,0.18,0.7405576972200504,5.364687440379228,2.1484375,0.07869269952672146,0.2479792221004307,-0.848,-0.754,-0.672,0.21811654808950912,2.818066159677837,2.1484375,0.05820032143349764,0.45424941352292364,0.52,0.645,0.723,0.33965781537188905,4.003773855767034,2.1484375,0.15279148897976907,0.3779711081984462,0.9155024791833779,1.0099732617235748,1.099095877217339
004-1,0,0.426,-0.238,0.11711544011544012,0.125,0.1205851627453358,0.014540781474319121,486.966,-0.195,-1.258,-0.7171993746993747,-0.734,0.14835775026468068,0.022010022063597357,-2982.115,1.063,0.445,0.7008951418951419,0.668,0.13496257402430634,0.018214896387266366,2914.322,1.5441204616220847,0.7718069706863239,1.0297266984744904,1.016786850819034,0.11731894436249882,0.013763734706331094,4281.603612256931,0.10718054046051968,1.4199809072410146,0.78125,0.019939503020299038,0.28904193712004556,0.027,0.125,0.211,0.4532011568142172,2.624076788692177,0.390625,0.012631494998502775,0.17056251528646324,-0.793,-0.734,-0.664,0.21332467091720012,1.7006920524154658,1.5625,0.017360237743874945,0.25648442585003084,0.594,0.668,0.793,0.3304588372539792,2.927016870430678,1.5625,0.02224306217486774,0.31053547155868905,0.9584507029563386,1.016786850819034,1.0627277400030821
004-2,0,0.461,-0.207,0.10809480212640284,0.098,0.12104400431396696,0.014651650980359653,366.009,-0.262,-1.422,-0.712386001181335,-0.715,0.15288632254330073,0.023374227620814182,-2412.139,1.199,0.422,0.710632309509746,0.688,0.15143937974863994,0.022933885738652775,2406.201,1.7205836219143782,0.6117859102660015,1.0307460693635635,1.0199818625639328,0.15062397554895723,0.022687582010172864,3490.1061908650263,0.20783148840243423,1.837740378510348,0.78125,0.012646470842202613,0.21234334986840017,0.031,0.098,0.207,0.38090812244148814,2.8108048736372004,1.7578125,0.022653195818945378,0.23952149663984815,-0.781,-0.715,-0.633,0.25197760546073367,1.975443222735561,1.7578125,0.03724455763519774,0.3791189085680495,0.586,0.688,0.828,0.27306777543031513,2.6611510524032176,1.7578125,0.05445991926449336,0.43498072179186287,0.92975789734567,1.0199818625639328,1.0808863243279163
005-1,0,0.148,-0.445,-0.10775062137531069,-0.102,0.09528723752600292,0.009079657635336899,-260.11,-0.48,-1.672,-0.8911412593206297,-0.867,0.23184685167544516,0.05375296263181587,-2151.215,0.988,0.176,0.48766114333057164,0.492,0.1551928800250251,0.02408483001046183,1177.214,1.771442914688475,0.5280539745139695,1.0302255966488925,1.017105198420252,0.2628718723275491,0.06910162126099129,2486.9645903104265,1.403228091063313,4.486695942300633,3.125,0.005923931777771101,0.12761353537624773,-0.164,-0.102,-0.035,0.06366900456581569,2.9315661963437285,1.953125,0.14771196825482494,0.4062110490298716,-1.008,-0.867,-0.719,0.20583299586277132,2.706021675107653,1.953125,0.057156270777064894,0.37654985340645575,0.359,0.492,0.586,0.052928378787254225,2.5392056222511448,1.953125,0.20571213170583852,0.42804189324447006,0.831989571608363,1.017105198420252,1.165221867112569
005-2,0,0.152,-0.535,-0.08788994229183841,-0.094,0.09440314430940223,0.008911953655501823,-213.221,-0.426,-1.77,-0.9108516075845012,-0.902,0.24085827682893157,0.058012709517002235,-2209.726,0.902,0.152,0.4524909315746084,0.453,0.1465238931298781,0.021469251257935938,1097.743,1.8842996046276719,0.47437327074783625,1.0281701238663783,1.0210276685066155,0.27088236762133083,0.07337725708813782,2494.340720499834,1.9442513928515799,4.700664757338314,3.125,0.009014346866562955,0.17130766955398244,-0.137,-0.094,-0.012,0.064093938644769,2.983884754496897,2.1484375,0.19597795898170706,0.4781253196404002,-1.0259999999999998,-0.902,-0.734,0.20116703022734767,2.7459758004829773,2.1484375,0.060998196232487326,0.4315932179376087,0.34,0.453,0.539,0.05739012274697029,2.645012966182465,2.1484375,0.2606779055683844,0.49672074970800145,0.8242522289605337,1.0210276685066155,1.1596315027082098
