ID,group,zure_x,zure_y,zure_z
001_neck1_clipout.csv,0,56.256,90.527,58.49
001_neck2_clipout.csv,0,42.88,74.564,44.884
002_neck1_clipout.csv,0,36.487,69.224,42.994
002_neck2_clipout.csv,0,36.73,71.917,43.041
003_neck1_clipout.csv,0,74.03,137.463,62.875
003_neck2_clipout.csv,0,79.54,148.761,68.116
004_neck1_clipout.csv,0,40.305,72.45,52.145
004_neck2_clipout.csv,0,41.903,72.88,49.208
005_neck1_clipout.csv,0,45.242,88.634,58.149
005_neck2_clipout.csv,0,46.381,91.715,55.618
006_neck1_clipout.csv,0,46.842,65.504,40.564
006_neck2_clipout.csv,0,47.879,69.261,43.705
007_neck1_clipout.csv,0,56.02,81.114,53.787
007_neck2_clipout.csv,0,54.862,78.444,50.463
009_neck1_clipout.csv,0,37.474,67.108,53.876
009_neck2_clipout.csv,0,39.154,71.054,58.663
010_neck1_clipout.csv,0,38.618,69.218,49.094
010_neck2_clipout.csv,0,38.851,73.27,49.686
011_neck1_clipout.csv,0,78.237,98.504,66.636
011_neck2_clipout.csv,0,78.706,103.705,72.247
012_neck1_clipout.csv,0,44.541,91.831,66.298
012_neck2_clipout.csv,0,47.968,97.416,72.309
014_neck1_clipout.csv,0,70.033,116.961,58.681
014_neck2_clipout.csv,0,72.513,114.268,62.35
015_neck1_clipout.csv,0,62.449,106.592,50.803
015_neck2_clipout.csv,0,46.885,69.851,47.629
017_neck1_clipout.csv,0,64.642,113.134,49.517
017_neck2_clipout.csv,0,49.469,78.341,47.393
018_neck1_clipout.csv,0,62.602,128.292,64.4
018_neck2_clipout.csv,0,61.759,121.857,63.628
019_neck1_clipout.csv,0,60.509,102.454,48.298
019_neck2_clipout.csv,0,62.975,99.75,50.37
020_neck1_clipout.csv,0,49.79,85.976,66.066
020_neck2_clipout.csv,0,50.132,80.629,67.07
021_neck1_clipout.csv,0,45.965,75.142,42.352
021_neck2_clipout.csv,0,46.017,88.485,52.767
022_neck1_clipout.csv,0,47.224,79.216,42.48
022_neck2_clipout.csv,0,49.006,95.052,53.386
023_neck1_clipout.csv,0,44.315,78.013,42.155
023_neck2_clipout.csv,0,49.372,80.216,50.104
024_neck1_clipout.csv,0,48.998,68.507,45.642
024_neck2_clipout.csv,0,52.932,75.242,49.891
