ID,group,x_acc__max,x_acc__min,x_acc__mean,x_acc__median,x_acc__std,x_acc__var,x_acc__sum,y_acc__max,y_acc__min,y_acc__mean,y_acc__median,y_acc__std,y_acc__var,y_acc__sum,z_acc__max,z_acc__min,z_acc__mean,z_acc__median,z_acc__std,z_acc__var,z_acc__sum,x_acc__freezing_index,x_acc__central_frequency,x_acc__dominant_frequency,x_acc__amplitude,x_acc__relative_amplitude,x_acc__percentile25,x_acc__percentile50,x_acc__percentile75,y_acc__freezing_index,y_acc__central_frequency,y_acc__dominant_frequency,y_acc__amplitude,y_acc__relative_amplitude,y_acc__percentile25,y_acc__percentile50,y_acc__percentile75,z_acc__freezing_index,z_acc__central_frequency,z_acc__dominant_frequency,z_acc__amplitude,z_acc__relative_amplitude,z_acc__percentile25,z_acc__percentile50,z_acc__percentile75
tone027-2,1,0.359,-0.332,0.0342410155,0.035,0.1049545869,0.01101546531,103.853,-0.227,-0.859,-0.528443785,-0.508,0.1131332291,0.01279912753,-1602.77,1.273,0.609,0.8978513023,0.91,0.1187226624,0.01409507056,2723.183,0.4952424122,2.954629716,0.9765625,0.01136021721,0.2072717616,-0.023,0.035,0.102,0.2885139262,3.06039172,1.953125,0.02235930416,0.3758449654,-0.609,-0.508,-0.445,0.09473173743,2.466997463,1.953125,0.03773085903,0.4753921802,0.813,0.91,0.984
tone073-1,1,0.281,-0.402,-0.08073560121,-0.074,0.09755993639,0.009517941188,-239.704,-0.625,-1.492,-0.90575581,-0.883,0.1477118447,0.02181878907,-2689.189,0.809,0.25,0.4641940047,0.449,0.1062518087,0.01128944685,1378.192,0.4315431324,3.479157898,2.9296875,0.006600948239,0.1465375288,-0.145,-0.074,-0.012,0.08913406544,2.987611863,1.953125,0.05737569687,0.4141317092,-0.992,-0.883,-0.801,0.6183251349,2.947036283,1.953125,0.01050963461,0.2258344886,0.387,0.449,0.531
tone069-2,1,0.211,-0.5,-0.07748590722,-0.059,0.1158999528,0.01343279907,-263.917,-0.234,-1.145,-0.5654266001,-0.566,0.1243721349,0.01546842794,-1925.843,1.336,0.539,0.8666946565,0.863,0.1194816318,0.01427586034,2951.962,0.2108693605,2.883208224,0.9765625,0.01139381849,0.1643732775,-0.168,-0.059,0.016,0.7334745131,5.22041207,1.953125,0.006863258009,0.1020529273,-0.621,-0.566,-0.496,0.4597608613,2.936551522,1.953125,0.0230694935,0.2881719529,0.781,0.863,0.941
tone091-2,1,0.672,-0.395,0.09298545684,0.098,0.1672052027,0.0279575798,294.113,-0.262,-1.473,-0.5349538413,-0.496,0.1591373023,0.02532468098,-1692.059,1.273,0.664,0.8767265255,0.863,0.09698475731,0.009406043151,2773.086,0.2078967835,3.194578475,0.9765625,0.04439765698,0.284803222,-0.051,0.098,0.234,1.232977112,6.613847501,1.953125,0.02222369653,0.1503791864,-0.547,-0.496,-0.457,0.3586093403,3.565659734,1.953125,0.01881540131,0.3454370492,0.813,0.863,0.914
tone041-2,1,0.363,-0.262,0.05929889904,0.063,0.1324836647,0.01755192142,253.147,-0.559,-1.293,-0.7832803935,-0.766,0.0981360079,0.009630676047,-3343.824,0.883,0.477,0.6482607168,0.645,0.06507013883,0.004234122967,2767.425,0.1958984488,2.40730418,1.171875,0.03903093068,0.4621053203,-0.063,0.063,0.18,1.889594863,5.682927829,4.4921875,0.006398777071,0.12906247,-0.816,-0.766,-0.719,1.23203501,3.998491238,2.1484375,0.002425796115,0.119174681,0.602,0.645,0.688
tone015-1,1,0.18,-0.27,-0.01860855346,-0.016,0.08936798288,0.007986636364,-73.969,-0.242,-0.852,-0.5196631447,-0.516,0.0758846467,0.005758479605,-2065.661,1.098,0.68,0.8720218868,0.875,0.07438041864,0.005532446677,3466.287,0.1233519071,1.922234956,0.9765625,0.0152581572,0.3991710075,-0.086,-0.016,0.055,1.354929238,4.445784614,1.953125,0.001759285584,0.07887129545,-0.555,-0.516,-0.473,0.6601583191,3.261928464,1.953125,0.007065488814,0.2507348346,0.816,0.875,0.926
tone047-1,1,0.598,-0.316,0.1131092033,0.121,0.1059440349,0.01122413853,329.374,-0.313,-1.5,-0.7308671016,-0.703,0.1370709039,0.01878843269,-2128.285,1.066,0.418,0.7084773352,0.707,0.1155256451,0.01334617468,2063.086,1.039964025,4.076642344,2.9296875,0.01085598068,0.1974845065,0.063,0.121,0.18,2.758041833,5.850848101,6.0546875,0.0113057468,0.1091716267,-0.758,-0.703,-0.664,0.2770974081,2.749900688,1.953125,0.03002040491,0.3805458352,0.637,0.707,0.777
tone009-1,1,0.609,-0.535,0.01700818275,0.027,0.140144237,0.01964040716,49.885,-0.434,-1.211,-0.7504255029,-0.746,0.1055412138,0.01113894781,-2200.998,1.219,0.336,0.6989110126,0.672,0.1504963885,0.02264916295,2049.906,0.555742182,3.472844622,2.734375,0.01463517122,0.1304812461,-0.074,0.027,0.105,0.3526928042,3.855340328,1.7578125,0.01385106722,0.2434334532,-0.816,-0.746,-0.684,0.6626524333,2.845413789,1.7578125,0.04091099276,0.2975675663,0.59,0.672,0.785
tone021-1,1,0.414,-0.301,-0.004645066274,-0.008,0.08542058531,0.007296676395,-22.078,0.227,-0.414,-0.003394698085,0,0.09609412862,0.009234081554,-16.135,1.27,0.828,1.023099937,1.02,0.05248633286,0.002754815137,4862.794,0.4422624175,3.211700638,0.78125,0.008585161068,0.2128625558,-0.07,-0.008,0.055,0.4158665861,3.254705862,1.7578125,0.006155687589,0.1709914633,-0.059,0,0.066,2.939564364,5.178260592,3.3203125,0.001158667356,0.07409094921,1,1.02,1.047
tone075-2,1,0.473,-0.531,-0.0542680278,-0.047,0.1200678673,0.01441629275,-124.925,-0.363,-1.613,-0.778102954,-0.746,0.2122484631,0.04504941008,-1791.193,1.52,0.359,0.6639061685,0.625,0.1818182607,0.03305787994,1528.312,0.4301005901,4.08056054,2.9296875,0.01654815729,0.2589765479,-0.133,-0.047,0.016,0.2056656479,4.786355798,1.953125,0.09809929654,0.3714129865,-0.883,-0.746,-0.626,0.2567316577,2.97304696,1.953125,0.08054943837,0.4459353766,0.523,0.625,0.742
tone076-1,1,0.535,-0.5,0.03000918695,0.027,0.1354310721,0.01834157528,65.33,-0.441,-1.91,-0.8617909968,-0.828,0.2090123548,0.04368616448,-1876.119,1.004,0.293,0.5392416169,0.52,0.1278486742,0.01634528351,1173.929,0.3371269641,3.138464671,0.9765625,0.01632655933,0.2184998308,-0.063,0.027,0.125,0.2498257002,3.423594739,1.7578125,0.08628932618,0.3492251219,-0.949,-0.828,-0.73,0.4096645576,2.65439256,1.7578125,0.02421113602,0.2554724973,0.445,0.52,0.609
tone038-1,1,0.305,-0.328,0.007826298208,0.004,0.1151555193,0.01326079363,25.772,-0.453,-1.121,-0.7506759794,-0.738,0.1270287843,0.01613631205,-2471.976,1.223,0.379,0.6986046159,0.664,0.1440929555,0.02076277983,2300.505,0.4890105159,2.684882509,0.9765625,0.0119071988,0.1889534035,-0.07,0.004,0.086,1.336592679,3.934144092,1.953125,0.00969300906,0.137666013,-0.848,-0.738,-0.652,0.5448048575,3.167080409,1.953125,0.03042458142,0.296507538,0.582,0.664,0.813
tone010-1,1,0.535,-0.266,0.1651641609,0.156,0.1122858136,0.01260810393,406.469,-0.262,-1.418,-0.5616416091,-0.547,0.1524200309,0.02323186581,-1382.2,1.313,0.574,0.8426363267,0.797,0.1712890125,0.02933992582,2073.728,0.3355961608,3.952177924,2.734375,0.01259448188,0.1918545058,0.082,0.156,0.242,0.3861078311,4.307729788,1.7578125,0.04049311715,0.2942657045,-0.609,-0.547,-0.465,0.1683160446,2.511699329,1.7578125,0.08102041635,0.4329324648,0.707,0.797,0.961
tone044-2,1,0.367,-0.527,-0.03512887054,-0.039,0.120182296,0.01444378427,-119.122,0.5,-0.41,0.09199616632,0.121,0.1803797428,0.03253685161,311.959,1.43,0.785,1.015225007,1,0.08666642271,0.007511068826,3442.628,0.2694106046,3.125817005,0.9765625,0.02174375559,0.2861430231,-0.121,-0.039,0.055,0.2781858251,2.789716913,0.9765625,0.006448105515,0.1896916499,-0.031,0.121,0.23,0.4298104501,3.097828269,1.953125,0.006040253279,0.1457751041,0.965,1,1.051
tone094-2,1,0.75,-0.5,-0.04251117069,-0.035,0.1151313765,0.01325523386,-142.71,-0.059,-1.789,-0.647588025,-0.633,0.1404112588,0.01971532158,-2173.953,1.863,0.324,0.8094098898,0.785,0.124733499,0.01555844577,2717.189,0.3046488855,3.411155094,0.78125,0.01323307045,0.183061053,-0.117,-0.035,0.039,0.5185947096,5.902097072,1.7578125,0.01890512738,0.1683366234,-0.707,-0.633,-0.563,0.4077676693,3.341253425,1.7578125,0.01915398964,0.2004064234,0.723,0.785,0.875
tone092-1,1,0.359,-0.547,-0.07236814932,-0.066,0.111430386,0.01241673092,-182.223,1.285,0.379,0.696517077,0.664,0.1737458526,0.03018762128,1753.83,1.316,0.262,0.7469205719,0.758,0.2032636732,0.04131612082,1880.746,0.4111865073,3.950655814,2.9296875,0.01549201091,0.2355164697,-0.137,-0.066,-0.005,0.2696028393,3.269627587,1.953125,0.06757863051,0.3783799168,0.563,0.664,0.816,0.4821171804,2.706314848,1.953125,0.09332391639,0.3552753932,0.625,0.758,0.859
tone088-2,1,0.668,-0.063,0.3367416361,0.34,0.1020176578,0.0104076025,1378.957,-0.004,-0.883,-0.3927020757,-0.383,0.1197846591,0.01434836457,-1608.115,1.129,0.664,0.8828163614,0.887,0.08091904001,0.006547891037,3615.133,0.4277988907,3.289835547,0.9765625,0.008500132916,0.1585415247,0.277,0.34,0.406,0.5626151952,3.305507652,1.7578125,0.008396319051,0.1629658697,-0.457,-0.383,-0.324,0.3447343399,3.181829316,1.7578125,0.00990431218,0.3220806425,0.824,0.887,0.941
tone042-1,1,0.203,-0.992,-0.2525609943,-0.246,0.1492455293,0.02227422801,-660.447,-0.238,-1.563,-0.7650214149,-0.738,0.1896501438,0.03596717705,-2000.531,1.246,0.285,0.6310416826,0.605,0.1700471743,0.02891604149,1650.174,0.3158079875,3.296713321,0.9765625,0.01968844139,0.1716845872,-0.336,-0.246,-0.156,0.2312178531,5.417669398,1.953125,0.03363917217,0.2172233242,-0.879,-0.738,-0.652,0.2413891484,2.851366205,1.953125,0.04196280532,0.3106922661,0.504,0.605,0.73
tone058-2,1,0.418,-0.414,-0.001311120032,-0.008,0.1032979196,0.01067046019,-3.266,-0.137,-1.277,-0.5647121638,-0.531,0.1523527146,0.02321134965,-1406.698,1.41,0.551,0.8830309113,0.895,0.1538137645,0.02365867414,2199.63,0.7087767569,4.347599717,0.9765625,0.01018357289,0.1677519657,-0.066,-0.008,0.063,0.3027471993,6.369792274,1.953125,0.03379958993,0.2376944627,-0.648,-0.531,-0.463,0.1662733307,2.826973456,1.953125,0.06775078208,0.4440859985,0.756,0.895,0.984
