ID,group,x_acc__max,x_acc__min,x_acc__mean,x_acc__median,x_acc__std,x_acc__var,x_acc__sum,y_acc__max,y_acc__min,y_acc__mean,y_acc__median,y_acc__std,y_acc__var,y_acc__sum,z_acc__max,z_acc__min,z_acc__mean,z_acc__median,z_acc__std,z_acc__var,z_acc__sum,x_acc__freezing_index,x_acc__central_frequency,x_acc__dominant_frequency,x_acc__amplitude,x_acc__relative_amplitude,x_acc__percentile25,x_acc__percentile50,x_acc__percentile75,y_acc__freezing_index,y_acc__central_frequency,y_acc__dominant_frequency,y_acc__amplitude,y_acc__relative_amplitude,y_acc__percentile25,y_acc__percentile50,y_acc__percentile75,z_acc__freezing_index,z_acc__central_frequency,z_acc__dominant_frequency,z_acc__amplitude,z_acc__relative_amplitude,z_acc__percentile25,z_acc__percentile50,z_acc__percentile75
028_neck2_clipout_go,1,0.25,-0.375,-0.04047727272727273,-0.039,0.10823201542274903,0.011714169162470183,-69.459,-0.461,-1.211,-0.7561800699300698,-0.734,0.11584468681220997,0.013419991462619013,-1297.6049999999998,0.992,0.438,0.6872301864801865,0.684,0.10436349371319223,0.010891738820023514,1179.287,0.13542304251732695,1.820845728575966,0.78125,0.01932567128551933,0.3432351652411331,-0.109,-0.039,0.031,0.28791953612275456,2.9216556794882815,1.7578125,0.020184143173598724,0.2553541514488724,-0.805,-0.734,-0.68,0.13958983900561373,2.0775136043075673,1.7578125,0.021728576473934363,0.35200517375728,0.609,0.684,0.754
005_neck1_clipout_back,1,0.098,-0.445,-0.10532541567695963,-0.102,0.09039531623174783,0.008171313196637693,-133.026,-0.523,-1.652,-0.891680126682502,-0.871,0.2190287463696844,0.047973591736275537,-1126.192,0.895,0.176,0.4891250989707048,0.492,0.1499736644455576,0.022492100027228703,617.7650000000001,0.7672843547656661,3.946267363202285,0.9765625,0.00483058774520231,0.12621059115060476,-0.164,-0.102,-0.035,0.0914179854290642,2.9103606499301615,1.953125,0.14150565591228498,0.4522700834717694,-0.992,-0.871,-0.742,0.23316630387439585,2.6219760485216472,1.953125,0.054751627590740946,0.39376660090506405,0.363,0.492,0.582
010_neck2_clipout_go,1,0.484,0.004,0.2124470338983051,0.232,0.10824340464176022,0.011716634648439838,300.82500000000005,-0.441,-1.215,-0.6963093220338983,-0.676,0.1300653723019654,0.01691700107204887,-985.9739999999999,1.043,0.465,0.6891680790960453,0.691,0.1236472641605927,0.015288645934399391,975.8620000000001,0.12190863867448014,1.7465604976629336,0.78125,0.02727424631126674,0.4468713196619453,0.105,0.232,0.301,0.25847606479041846,3.431806982860224,1.5625,0.024813395523405824,0.28101538387001784,-0.754,-0.676,-0.605,0.17872831781730672,2.249505246788155,1.5625,0.03479590147903962,0.39684802802222174,0.59,0.691,0.766
019_neck2_clipout_back,1,0.414,-0.719,-0.023970495919648463,-0.031,0.17323666461854556,0.030010941968158435,-38.185,-0.457,-1.551,-0.8494632768361582,-0.828,0.17087480007321038,0.029198197300059618,-1353.195,1.008,0.293,0.5427193973634651,0.508,0.1279758034276526,0.016377806262953182,864.5519999999999,0.26728343797106424,2.273667745724945,0.9765625,0.04372219175380779,0.26202531338081697,-0.133,-0.031,0.098,0.4198364112921463,3.833580673295608,1.953125,0.05031817854287535,0.3081661562899126,-0.934,-0.828,-0.73,0.2113199304978906,2.210765031331664,1.953125,0.030031180270865918,0.3500136301341128,0.445,0.508,0.625
026_neck1_clipout_go,1,0.324,-0.434,-0.006452224653537559,0.004,0.12031296057480084,0.014475208482273582,-8.845999999999993,-0.637,-1.602,-0.9038701677607587,-0.871,0.16726829030484136,0.027978680941504682,-1239.2060000000001,0.941,0.273,0.47106199854121084,0.473,0.09251813682963074,0.008559605642426277,645.826,0.5900370049448275,3.672495796866893,0.9765625,0.016674723858481122,0.2356885022026126,-0.086,0.004,0.086,0.22119800754400668,3.560460123252447,1.953125,0.058695239337839544,0.36649423661090114,-0.984,-0.871,-0.777,0.2406392104336346,2.7689679920370938,1.953125,0.014235441015450837,0.34674460256047757,0.402,0.473,0.535
028_neck2_clipout_back,1,0.332,-0.344,-0.04829624060150377,-0.047,0.11205725614179497,0.012556828654027847,-64.23400000000001,-0.508,-1.355,-0.766506015037594,-0.738,0.1215095869592583,0.014764579723009555,-1019.453,1.102,0.445,0.6770992481203008,0.676,0.11377565247670397,0.012944899096499714,900.542,0.08861678261465349,1.8176643040971983,0.9765625,0.018895684850355653,0.29079935975172416,-0.125,-0.047,0.035,0.260792681940463,3.4580590529559694,1.7578125,0.029029124665508034,0.38517694056863006,-0.816,-0.738,-0.68,0.14407230884007835,2.254332523834562,1.7578125,0.030557429931954098,0.4488267445261695,0.582,0.676,0.75
023_neck1_clipout_go,1,0.09,-0.336,-0.10641470104223805,-0.102,0.07127538346933229,0.005080180288700367,-193.99399999999997,-0.582,-1.141,-0.7668875479978059,-0.754,0.08217719318502693,0.006753091079769237,-1398.036,0.891,0.477,0.6594092155787165,0.656,0.06605996645922556,0.004363919168594005,1202.103,0.25453198825742224,2.5812042172298315,0.78125,0.005631449924014797,0.27062333502399716,-0.152,-0.102,-0.055,0.2655268912512098,4.34843156250714,1.7578125,0.009021670668573987,0.24897596808098835,-0.809,-0.754,-0.707,0.414302193084369,2.5342248540283316,1.7578125,0.006060305435190565,0.25965714300676307,0.609,0.656,0.699
022_neck2_clipout_back,1,0.18,-0.367,-0.05859238754325259,-0.059,0.10735270433298799,0.01152460312760594,-84.666,-0.477,-1.516,-0.7246186851211073,-0.688,0.1504851408892712,0.0226457776284638,-1047.074,1.02,0.492,0.7253529411764705,0.73,0.118307161607126,0.013996584487534627,1048.135,0.5331738644781376,3.2609791557872327,2.9296875,0.011919376503038148,0.19973654389194598,-0.137,-0.059,0.02,0.7251061791336464,5.7907333270770325,1.953125,0.02922718484198946,0.2305748755027543,-0.762,-0.688,-0.633,0.08407766460678376,2.546119895434393,1.953125,0.037251004218125654,0.49703551047691663,0.633,0.73,0.813
015_neck2_clipout_go,1,0.73,-0.582,0.03258760107816712,0.02,0.14479424035635222,0.020965372040373097,36.27,-0.398,-2.141,-0.8578400718778078,-0.824,0.24493274207627286,0.05999204814100201,-954.7760000000001,1.035,0.32,0.5483854447439354,0.492,0.14185807593795044,0.020123713708817312,610.3530000000001,1.158245384968328,4.145804260749801,0.9765625,0.018939061598177428,0.18139292662713372,-0.023,0.02,0.082,0.47633653524723596,4.856234173676408,1.953125,0.07259230806354475,0.20926975421372568,-0.949,-0.824,-0.691,0.258257003302669,2.8880175083739474,1.953125,0.029987862813314177,0.31956109442185976,0.441,0.492,0.637
014_neck2_clipout_back,1,0.391,-0.594,-0.05708402100525132,-0.055,0.15442177964349402,0.023846086028263824,-76.093,0.023,-1.203,-0.48459414853713423,-0.445,0.21352330617065432,0.04559220227804699,-645.9639999999999,1.305,0.617,0.9129152288072018,0.91,0.1449534289425525,0.021011496562203615,1216.916,0.6320435953164232,3.4269351207589347,2.734375,0.02385244590751094,0.20090270509041736,-0.145,-0.055,0.027,0.4931621287290114,3.8219619948261876,1.7578125,0.06148250055531599,0.253005307079045,-0.594,-0.445,-0.344,0.11129852410711442,2.4486156167682016,1.7578125,0.051472878979380056,0.4135075389502453,0.793,0.91,1.027
